,year,month,date_of_month,day_of_week,births
0,1994,1,1,6,8096
1,1994,1,2,7,7772
2,1994,1,3,1,10142
3,1994,1,4,2,11248
4,1994,1,5,3,11053
5,1994,1,6,4,11406
6,1994,1,7,5,11251
7,1994,1,8,6,8653
8,1994,1,9,7,7910
9,1994,1,10,1,10498
10,1994,1,11,2,11706
11,1994,1,12,3,11567
12,1994,1,13,4,11212
13,1994,1,14,5,11570
14,1994,1,15,6,8660
15,1994,1,16,7,8123
16,1994,1,17,1,10567
17,1994,1,18,2,11541
18,1994,1,19,3,11257
19,1994,1,20,4,11682
20,1994,1,21,5,11811
21,1994,1,22,6,8833
22,1994,1,23,7,8310
23,1994,1,24,1,11125
24,1994,1,25,2,11981
25,1994,1,26,3,11514
26,1994,1,27,4,11702
27,1994,1,28,5,11666
28,1994,1,29,6,8988
29,1994,1,30,7,8096
30,1994,1,31,1,10765
31,1994,2,1,2,11755
32,1994,2,2,3,11483
33,1994,2,3,4,11523
34,1994,2,4,5,11677
35,1994,2,5,6,8991
36,1994,2,6,7,8309
37,1994,2,7,1,10984
38,1994,2,8,2,12152
39,1994,2,9,3,11515
40,1994,2,10,4,11623
41,1994,2,11,5,11517
42,1994,2,12,6,8945
43,1994,2,13,7,8171
44,1994,2,14,1,11551
45,1994,2,15,2,12164
46,1994,2,16,3,12009
47,1994,2,17,4,11674
48,1994,2,18,5,11887
49,1994,2,19,6,8946
50,1994,2,20,7,8402
51,1994,2,21,1,10617
52,1994,2,22,2,11810
53,1994,2,23,3,11776
54,1994,2,24,4,11667
55,1994,2,25,5,11905
56,1994,2,26,6,8988
57,1994,2,27,7,8195
58,1994,2,28,1,11091
59,1994,3,1,2,12127
60,1994,3,2,3,11735
61,1994,3,3,4,11984
62,1994,3,4,5,12066
63,1994,3,5,6,9215
64,1994,3,6,7,8389
65,1994,3,7,1,10996
66,1994,3,8,2,12275
67,1994,3,9,3,11780
68,1994,3,10,4,11792
69,1994,3,11,5,11939
70,1994,3,12,6,9087
71,1994,3,13,7,8248
72,1994,3,14,1,11092
73,1994,3,15,2,12298
74,1994,3,16,3,11865
75,1994,3,17,4,11976
76,1994,3,18,5,11799
77,1994,3,19,6,8944
78,1994,3,20,7,8243
79,1994,3,21,1,11140
80,1994,3,22,2,11964
81,1994,3,23,3,11637
82,1994,3,24,4,11904
83,1994,3,25,5,11568
84,1994,3,26,6,8957
85,1994,3,27,7,8189
86,1994,3,28,1,11051
87,1994,3,29,2,12154
88,1994,3,30,3,11540
89,1994,3,31,4,11782
90,1994,4,1,5,10630
91,1994,4,2,6,8782
92,1994,4,3,7,7530
93,1994,4,4,1,10909
94,1994,4,5,2,11876
95,1994,4,6,3,11811
96,1994,4,7,4,11718
97,1994,4,8,5,11532
98,1994,4,9,6,8791
99,1994,4,10,7,8183
100,1994,4,11,1,11060
101,1994,4,12,2,12146
102,1994,4,13,3,11428
103,1994,4,14,4,11709
104,1994,4,15,5,11753
105,1994,4,16,6,8790
106,1994,4,17,7,7867
107,1994,4,18,1,11094
108,1994,4,19,2,11966
109,1994,4,20,3,11585
110,1994,4,21,4,11509
111,1994,4,22,5,11553
112,1994,4,23,6,8613
113,1994,4,24,7,8089
114,1994,4,25,1,10909
115,1994,4,26,2,12236
116,1994,4,27,3,11701
117,1994,4,28,4,11527
118,1994,4,29,5,11474
119,1994,4,30,6,8621
365,1995,1,1,7,7828
366,1995,1,2,1,7883
367,1995,1,3,2,9999
368,1995,1,4,3,11315
369,1995,1,5,4,11243
370,1995,1,6,5,11506
371,1995,1,7,6,8681
372,1995,1,8,7,7821
373,1995,1,9,1,10434
374,1995,1,10,2,11665
375,1995,1,11,3,11279
376,1995,1,12,4,11416
377,1995,1,13,5,11071
378,1995,1,14,6,8887
379,1995,1,15,7,7988
380,1995,1,16,1,10417
381,1995,1,17,2,11345
382,1995,1,18,3,11252
383,1995,1,19,4,11331
384,1995,1,20,5,11481
385,1995,1,21,6,8746
386,1995,1,22,7,7956
387,1995,1,23,1,10640
388,1995,1,24,2,11344
389,1995,1,25,3,11096
390,1995,1,26,4,11380
391,1995,1,27,5,11340
392,1995,1,28,6,8781
393,1995,1,29,7,8009
394,1995,1,30,1,10515
395,1995,1,31,2,11364
396,1995,2,1,3,11279
397,1995,2,2,4,11490
398,1995,2,3,5,11264
399,1995,2,4,6,8769
400,1995,2,5,7,8017
401,1995,2,6,1,10587
402,1995,2,7,2,11483
403,1995,2,8,3,11205
404,1995,2,9,4,11282
405,1995,2,10,5,11615
406,1995,2,11,6,8949
407,1995,2,12,7,8007
408,1995,2,13,1,10351
409,1995,2,14,2,12454
410,1995,2,15,3,11828
411,1995,2,16,4,11657
412,1995,2,17,5,11625
413,1995,2,18,6,8788
414,1995,2,19,7,8038
415,1995,2,20,1,10258
416,1995,2,21,2,11582
417,1995,2,22,3,11716
418,1995,2,23,4,11786
419,1995,2,24,5,11671
420,1995,2,25,6,8829
421,1995,2,26,7,8183
422,1995,2,27,1,10702
423,1995,2,28,2,11679
424,1995,3,1,3,11540
425,1995,3,2,4,11377
426,1995,3,3,5,11649
427,1995,3,4,6,8807
428,1995,3,5,7,7984
429,1995,3,6,1,10810
430,1995,3,7,2,12115
431,1995,3,8,3,11618
432,1995,3,9,4,11380
433,1995,3,10,5,11827
434,1995,3,11,6,8744
435,1995,3,12,7,7859
436,1995,3,13,1,10609
437,1995,3,14,2,11750
438,1995,3,15,3,11736
439,1995,3,16,4,11751
440,1995,3,17,5,11953
441,1995,3,18,6,8538
442,1995,3,19,7,7787
443,1995,3,20,1,10588
444,1995,3,21,2,11837
445,1995,3,22,3,11485
446,1995,3,23,4,11435
447,1995,3,24,5,11329
448,1995,3,25,6,8628
449,1995,3,26,7,7614
450,1995,3,27,1,10541
451,1995,3,28,2,11563
452,1995,3,29,3,11125
453,1995,3,30,4,11205
454,1995,3,31,5,11319
455,1995,4,1,6,8398
456,1995,4,2,7,7547
457,1995,4,3,1,10651
458,1995,4,4,2,11960
459,1995,4,5,3,11475
460,1995,4,6,4,11429
461,1995,4,7,5,11587
462,1995,4,8,6,8588
463,1995,4,9,7,7839
464,1995,4,10,1,10930
465,1995,4,11,2,11939
466,1995,4,12,3,11750
467,1995,4,13,4,11411
468,1995,4,14,5,10687
469,1995,4,15,6,8492
470,1995,4,16,7,7503
471,1995,4,17,1,10640
472,1995,4,18,2,11652
473,1995,4,19,3,11680
474,1995,4,20,4,11504
475,1995,4,21,5,11445
476,1995,4,22,6,8560
477,1995,4,23,7,7749
478,1995,4,24,1,11014
479,1995,4,25,2,11811
480,1995,4,26,3,11551
481,1995,4,27,4,11601
482,1995,4,28,5,11457
483,1995,4,29,6,8492
484,1995,4,30,7,7777
730,1996,1,1,1,7683
731,1996,1,2,2,9408
732,1996,1,3,3,10954
733,1996,1,4,4,11308
734,1996,1,5,5,11631
735,1996,1,6,6,8680
736,1996,1,7,7,7735
737,1996,1,8,1,10044
738,1996,1,9,2,11018
739,1996,1,10,3,11144
740,1996,1,11,4,11304
741,1996,1,12,5,11274
742,1996,1,13,6,8488
743,1996,1,14,7,7685
744,1996,1,15,1,9912
745,1996,1,16,2,11181
746,1996,1,17,3,11148
747,1996,1,18,4,11579
748,1996,1,19,5,11292
749,1996,1,20,6,8492
750,1996,1,21,7,7701
751,1996,1,22,1,10593
752,1996,1,23,2,11451
753,1996,1,24,3,11336
754,1996,1,25,4,11405
755,1996,1,26,5,11195
756,1996,1,27,6,8487
757,1996,1,28,7,7533
758,1996,1,29,1,10374
759,1996,1,30,2,11359
760,1996,1,31,3,10889
761,1996,2,1,4,11030
762,1996,2,2,5,11335
763,1996,2,3,6,8390
764,1996,2,4,7,7531
765,1996,2,5,1,10364
766,1996,2,6,2,11360
767,1996,2,7,3,11204
768,1996,2,8,4,11529
769,1996,2,9,5,11577
770,1996,2,10,6,8578
771,1996,2,11,7,7710
772,1996,2,12,1,10542
773,1996,2,13,2,11322
774,1996,2,14,3,12094
775,1996,2,15,4,11820
776,1996,2,16,5,11666
777,1996,2,17,6,8465
778,1996,2,18,7,7763
779,1996,2,19,1,10036
780,1996,2,20,2,11598
781,1996,2,21,3,11554
782,1996,2,22,4,11697
783,1996,2,23,5,11415
784,1996,2,24,6,8692
785,1996,2,25,7,7917
786,1996,2,26,1,10693
787,1996,2,27,2,11761
788,1996,2,28,3,11428
789,1996,2,29,4,10692
790,1996,3,1,5,11785
791,1996,3,2,6,8719
792,1996,3,3,7,7885
793,1996,3,4,1,10586
794,1996,3,5,2,11475
795,1996,3,6,3,11535
796,1996,3,7,4,11446
797,1996,3,8,5,11272
798,1996,3,9,6,8611
799,1996,3,10,7,7512
800,1996,3,11,1,10668
801,1996,3,12,2,11623
802,1996,3,13,3,11338
803,1996,3,14,4,11578
804,1996,3,15,5,11860
805,1996,3,16,6,8691
806,1996,3,17,7,8010
807,1996,3,18,1,10812
808,1996,3,19,2,11764
809,1996,3,20,3,11482
810,1996,3,21,4,11653
811,1996,3,22,5,11727
812,1996,3,23,6,8534
813,1996,3,24,7,8002
814,1996,3,25,1,10662
815,1996,3,26,2,11764
816,1996,3,27,3,11532
817,1996,3,28,4,11728
818,1996,3,29,5,11659
819,1996,3,30,6,8712
820,1996,3,31,7,7956
821,1996,4,1,1,10173
822,1996,4,2,2,12055
823,1996,4,3,3,11622
824,1996,4,4,4,11881
825,1996,4,5,5,10985
826,1996,4,6,6,8354
827,1996,4,7,7,7372
828,1996,4,8,1,10659
829,1996,4,9,2,11631
830,1996,4,10,3,11429
831,1996,4,11,4,11489
832,1996,4,12,5,11462
833,1996,4,13,6,8565
834,1996,4,14,7,7687
835,1996,4,15,1,10548
836,1996,4,16,2,11754
837,1996,4,17,3,11554
838,1996,4,18,4,11282
839,1996,4,19,5,11438
840,1996,4,20,6,8451
841,1996,4,21,7,7789
842,1996,4,22,1,10957
843,1996,4,23,2,11979
844,1996,4,24,3,11342
845,1996,4,25,4,11340
846,1996,4,26,5,11070
847,1996,4,27,6,8444
848,1996,4,28,7,7567
849,1996,4,29,1,10325
850,1996,4,30,2,11391
1096,1997,1,1,3,8349
1097,1997,1,2,4,9914
1098,1997,1,3,5,11196
1099,1997,1,4,6,8617
1100,1997,1,5,7,7657
1101,1997,1,6,1,10456
1102,1997,1,7,2,11615
1103,1997,1,8,3,10872
1104,1997,1,9,4,10981
1105,1997,1,10,5,11545
1106,1997,1,11,6,8368
1107,1997,1,12,7,7524
1108,1997,1,13,1,10267
1109,1997,1,14,2,11502
1110,1997,1,15,3,11319
1111,1997,1,16,4,11311
1112,1997,1,17,5,11321
1113,1997,1,18,6,8340
1114,1997,1,19,7,7527
1115,1997,1,20,1,10444
1116,1997,1,21,2,11536
1117,1997,1,22,3,11508
1118,1997,1,23,4,11511
1119,1997,1,24,5,11410
1120,1997,1,25,6,8634
1121,1997,1,26,7,7526
1122,1997,1,27,1,10527
1123,1997,1,28,2,11661
1124,1997,1,29,3,11084
1125,1997,1,30,4,11171
1126,1997,1,31,5,11518
1127,1997,2,1,6,8488
1128,1997,2,2,7,7706
1129,1997,2,3,1,10596
1130,1997,2,4,2,11621
1131,1997,2,5,3,11291
1132,1997,2,6,4,11228
1133,1997,2,7,5,11538
1134,1997,2,8,6,8411
1135,1997,2,9,7,7566
1136,1997,2,10,1,10778
1137,1997,2,11,2,11734
1138,1997,2,12,3,11548
1139,1997,2,13,4,11288
1140,1997,2,14,5,12321
1141,1997,2,15,6,8805
1142,1997,2,16,7,7670
1143,1997,2,17,1,10023
1144,1997,2,18,2,11126
1145,1997,2,19,3,11574
1146,1997,2,20,4,11571
1147,1997,2,21,5,11458
1148,1997,2,22,6,8845
1149,1997,2,23,7,7553
1150,1997,2,24,1,10481
1151,1997,2,25,2,11566
1152,1997,2,26,3,11573
1153,1997,2,27,4,11666
1154,1997,2,28,5,11516
1155,1997,3,1,6,8589
1156,1997,3,2,7,7681
1157,1997,3,3,1,10837
1158,1997,3,4,2,11909
1159,1997,3,5,3,11570
1160,1997,3,6,4,11523
1161,1997,3,7,5,11571
1162,1997,3,8,6,8700
1163,1997,3,9,7,7649
1164,1997,3,10,1,10691
1165,1997,3,11,2,11944
1166,1997,3,12,3,11661
1167,1997,3,13,4,11397
1168,1997,3,14,5,11573
1169,1997,3,15,6,8521
1170,1997,3,16,7,7617
1171,1997,3,17,1,10881
1172,1997,3,18,2,11726
1173,1997,3,19,3,11550
1174,1997,3,20,4,11634
1175,1997,3,21,5,11846
1176,1997,3,22,6,8641
1177,1997,3,23,7,7594
1178,1997,3,24,1,10903
1179,1997,3,25,2,12160
1180,1997,3,26,3,11845
1181,1997,3,27,4,11745
1182,1997,3,28,5,11184
1183,1997,3,29,6,8329
1184,1997,3,30,7,7458
1185,1997,3,31,1,10283
1186,1997,4,1,2,10799
1187,1997,4,2,3,11662
1188,1997,4,3,4,11669
1189,1997,4,4,5,11657
1190,1997,4,5,6,8576
1191,1997,4,6,7,7207
1192,1997,4,7,1,10726
1193,1997,4,8,2,11840
1194,1997,4,9,3,11356
1195,1997,4,10,4,11499
1196,1997,4,11,5,11348
1197,1997,4,12,6,8444
1198,1997,4,13,7,7559
1199,1997,4,14,1,10620
1200,1997,4,15,2,11714
1201,1997,4,16,3,11652
1202,1997,4,17,4,11743
1203,1997,4,18,5,11560
1204,1997,4,19,6,8497
1205,1997,4,20,7,7673
1206,1997,4,21,1,10793
1207,1997,4,22,2,11979
1208,1997,4,23,3,11783
1209,1997,4,24,4,11755
1210,1997,4,25,5,11295
1211,1997,4,26,6,8285
1212,1997,4,27,7,7410
1213,1997,4,28,1,10265
1214,1997,4,29,2,11518
1215,1997,4,30,3,11346
1461,1998,1,1,4,8213
1462,1998,1,2,5,9784
1463,1998,1,3,6,8437
1464,1998,1,4,7,7807
1465,1998,1,5,1,10556
1466,1998,1,6,2,11843
1467,1998,1,7,3,11428
1468,1998,1,8,4,11526
1469,1998,1,9,5,11469
1470,1998,1,10,6,8612
1471,1998,1,11,7,7642
1472,1998,1,12,1,10553
1473,1998,1,13,2,11850
1474,1998,1,14,3,11542
1475,1998,1,15,4,11491
1476,1998,1,16,5,11535
1477,1998,1,17,6,8698
1478,1998,1,18,7,7690
1479,1998,1,19,1,10325
1480,1998,1,20,2,11806
1481,1998,1,21,3,11650
1482,1998,1,22,4,11680
1483,1998,1,23,5,11389
1484,1998,1,24,6,8525
1485,1998,1,25,7,7586
1486,1998,1,26,1,10771
1487,1998,1,27,2,11813
1488,1998,1,28,3,11483
1489,1998,1,29,4,11513
1490,1998,1,30,5,11616
1491,1998,1,31,6,8507
1492,1998,2,1,7,7650
1493,1998,2,2,1,10867
1494,1998,2,3,2,11659
1495,1998,2,4,3,11745
1496,1998,2,5,4,11529
1497,1998,2,6,5,11573
1498,1998,2,7,6,8567
1499,1998,2,8,7,7952
1500,1998,2,9,1,11113
